name;address;clean_price;cuisine_type;tags;source
Fugue;128 Rue du Faubourg Saint-Martin, 75010 Paris, France;€€€€;['Feeling'];['NÉOBISTROT'];lefooding
Candide;35 Rue de Sambre-et-Meuse, 75010 Paris, France;€€€;['VIANDES / GRILLADES', 'TERROIR'];['OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TERRASSE', '13 À TABLE', 'KID-FRIENDLY', 'ACCESSIBILITÉ', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Musa dwich club;22 Rue de l'Échiquier, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'SANDWICHS / BAGELS'];['OUVERT LE LUNDI', 'TAKE-AWAY', 'MANGER SEUL', 'OUVERT LE MIDI'];lefooding
Casimir;6 Rue de Belzunce, 75010 Paris, France;€€€€;['BISTROT', 'VIANDES / GRILLADES'];['OUVERT LE DIMANCHE', 'OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TERRASSE', '13 À TABLE', 'OUVERT LE MIDI'];lefooding
Holybelly 5;5 Rue Lucien Sampaix, 75010 Paris, France;€€;['Feeling'];['COFFEE SHOP', 'CHEFFES DE BANDE'];lefooding
Taco mesa;40 Rue du Faubourg Poissonnière, 75010 Paris, France;€€;['Feeling'];['LÈCHE-DOIGTS', 'MEXICAIN'];lefooding
Ika;26 Rue de Chabrol, 75010 Paris, France;€€;['JAPONAIS', 'ASIATIQUE'];['OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TAKE-AWAY', 'MANGER SEUL'];lefooding
Bake.;96 Rue du Faubourg Poissonnière, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'COFFEE SHOP', 'SANDWICHS / BAGELS', 'ANGLAIS'];['OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TAKE-AWAY', 'MANGER SEUL', 'MINI-PRIX'];lefooding
Michelle mabelle;37 Bd de la Villette, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'SANDWICHS / BAGELS', 'TARTES / SALADES / SOUPES / BOLS'];['OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TAKE-AWAY', 'MANGER SEUL', 'OUVERT LE MIDI'];lefooding
Dumbo petites-écuries;14 Rue des Petites Écuries, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'AMÉRICAIN', 'BURGERS'];['OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TAKE-AWAY', 'MANGER SEUL'];lefooding
Saam;59B Rue de Lancry, 75010 Paris, France;€€;['LÈCHE-DOIGTS', 'CORÉEN', 'TAÏWANAIS', 'ASIATIQUE'];['OUVERT LE DIMANCHE', 'ANTIDÉPRESSEUR', 'TAKE-AWAY', 'MANGER SEUL', 'ACCESSIBILITÉ', 'OUVERT LE MIDI'];lefooding
Faubourg daimant;20 Rue du Faubourg Poissonnière, 75010 Paris, France;€€€;['NÉOBISTROT', 'VÉGI'];['OUVERT LE DIMANCHE', 'OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'BRUNCH', 'MANGER SEUL', 'OUVERT LE MIDI', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Urfa dürüm;58 Rue du Faubourg Saint-Denis, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'KURDE'];['OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TERRASSE', 'TAKE-AWAY', 'FAIM DE NUIT', 'MANGER SEUL'];lefooding
Zinga;10 Rue des Petites Écuries, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'CARIBÉEN'];['OUVERT LE LUNDI', 'TAKE-AWAY', 'MANGER SEUL', 'OUVERT LE MIDI'];lefooding
Gros bao;72 Quai de Jemmapes, 75010 Paris, France;€€;['CHINOIS', 'ASIATIQUE', 'CHEFFES DE BANDE'];['OUVERT LE DIMANCHE', 'OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TERRASSE', 'TAKE-AWAY', 'ACCESSIBILITÉ', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Tempête;5 Cour des Petites Écuries, 75010 Paris, France;€€€;['BAR À VINS / CAVE À MANGER', 'LÈCHE-DOIGTS'];['ANTIDÉPRESSEUR', 'TERRASSE', 'FAIM DE NUIT', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Billili;136 Rue du Faubourg Poissonnière, 75010 Paris, France;€€;['Meilleur antidépresseur Guide 2020', 'Feeling'];['BAR À VINS / CAVE À MANGER'];lefooding
